cidade,categoria,ofensor
Belo Horizonte,Links,SPO-BHZ-UOLDIVEO-CPL042851
Belo Horizonte,Links,INTERCONEXAO BHZSBE X BHZREN
Belo Horizonte,Links,BHZREN x VPNAT
Belo Horizonte,Links,INSTAGRAM
Belo Horizonte,Links,BHE/IP/19148
Belo Horizonte,Links,DCN Alcatel
Belo Horizonte,Links,BHE/IP/17925 - IPV6
Belo Horizonte,Links,BHZREN X BHZESP
Belo Horizonte,Links,BHEESIT/BHEESME/1G/020
Belo Horizonte,Links,BHZRENRTD01 X BHZRENRTD01
Belo Horizonte,Links,BHE/IP/17336
Belo Horizonte,Links,BHEESIT/BHEESME/100M/001
Belo Horizonte,Links,BHE/IP/17333 - IPV6
Belo Horizonte,Links,BHE/IP/17498
Belo Horizonte,Links,BHE/IP/25518
Belo Horizonte,Links,BHZESP X BHZFER
Belo Horizonte,Links,BHE/IP/03717 - IPV6
Belo Horizonte,Links,bhe/ip/31510
Belo Horizonte,Links,GPON
Belo Horizonte,Links,BHEESDM/BHEESIT/1G/009
Belo Horizonte,Links,BHE/IP/25528
Belo Horizonte,Links,BHE/IP/29856
Belo Horizonte,Links,BHEESDM/BHEESIT/1G/003
Belo Horizonte,Links,BHZREN_MPLS X BHZESP
Belo Horizonte,Links,INTERCONEXÃO BHZBEA X BHZESP
Belo Horizonte,Links,INTERCONEXAO BHZREN X SLU
Belo Horizonte,Links,BHZPAM X PLO
Belo Horizonte,Links,DCN Tellabs
Belo Horizonte,Links,INTERCONEXÃO BHZREN X BHZBEA
Belo Horizonte,Links,BHEESDM/BHEESIT/1G/003
Belo Horizonte,Links,INTERCONEXÃO BHZAME X BHZPAM
Belo Horizonte,Links,BHE/IP/18298 - IPV6
Belo Horizonte,Links,TERRA
Belo Horizonte,Links,BHE/IP/17928 - IPV6
Belo Horizonte,Links,GLOBO
Belo Horizonte,Links,BHZESP x BHZBEA
Belo Horizonte,Links,INTERCONEXAO BHZREN X BHZSBE
Belo Horizonte,Links,INTERCONEXÃO BHZRENRTD01 E VGADTCRTD02
Belo Horizonte,Links,BHE/IP/17926 - IPV6
Belo Horizonte,Links,BHEESIT/BHEESME/1G/019
Belo Horizonte,Links,INTERCONEXÃO BHZESP X BHZSBE
Belo Horizonte,Links,BHE/IP/17335
Belo Horizonte,Links,INTERCONEXAO BHZREN X BHZBEA
Belo Horizonte,Links,BHECLR/GNA14I/DP*V/0003
Belo Horizonte,Links,BHE/IP/15575
Belo Horizonte,Links,BHECLR/SEANET/DP*V/0003
Belo Horizonte,Links,BHE/IP/15824
Belo Horizonte,Links,BHE/IP/18297
Belo Horizonte,Links,BHE/IP/03097
Belo Horizonte,Links,BHEESDM/BHEESIT/100M/006
Belo Horizonte,Links,BHE/IP/25517
Belo Horizonte,Links,BHE/IP/18395
Belo Horizonte,Links,INTERCONEXÃO BHZMPI X BHZESP
Belo Horizonte,Links,BHEESDM/BHEESIT/1G/009
Belo Horizonte,Links,INTERCONEXÃO BHZFER X BHZREN
Belo Horizonte,Links,BHEESDM/BHEESIT/100M/006
Belo Horizonte,Links,YOUTUBE
Belo Horizonte,Links,INTERCONEXAO NET X CLARO
Belo Horizonte,Links,BHZES X BHZBEA
Belo Horizonte,Links,INTERCONEXÃO BHZAME X BHZREN
Belo Horizonte,Links,PTT
Belo Horizonte,Links,AZION
Belo Horizonte,Links,BHE/IP/17927 - IPV6
Belo Horizonte,Links,DCN Lucent
Belo Horizonte,Links,INTERCONEXÃO BHZRENRTD01 X BHZRENRTD01
Belo Horizonte,Links,BHE/IP/17337
Belo Horizonte,Links,INTERCONEXÃO REN X MPI
Belo Horizonte,Links,BHZFERRTD01 x BHZSGFAAOLT01
Belo Horizonte,Links,BHEESIT/BHEESME/1G/018
Belo Horizonte,Não Definida,NÃO DEFINIDO
Belo Horizonte,NOW,CONTEÚDO
Belo Horizonte,NOW,Hub Espírito Santo
Belo Horizonte,NOW,HUB BETANIA
Belo Horizonte,NOW,Fernão Dias - hub
Belo Horizonte,NOW,HUB RENASCENCA
Belo Horizonte,NOW,NOW
Belo Horizonte,NOW,CATALOGO
Belo Horizonte,NOW,HUB FERNÃO DIAS
Belo Horizonte,NOW,PAMPULHA
Belo Horizonte,NOW,HUB - CASTELO
Belo Horizonte,NOW,STREAM
Belo Horizonte,NOW,RFGATEWAY
Belo Horizonte,NOW,Hub Mário Pires
Belo Horizonte,Now Online - Net-Claro,NowOnline
Belo Horizonte,Pay TV (Line UP),Não Definido
Belo Horizonte,Peering,Não Definido
Belo Horizonte,Rede HFC/Acesso,Node
Belo Horizonte,Rede HFC/Acesso,AP Cisco
Belo Horizonte,Rede HFC/Acesso,AP Belair
Belo Horizonte,Redundância,Não Definido
Belo Horizonte,SBC,NETFONE
Belo Horizonte,Segurança,BHE/IP/17334
Belo Horizonte,Segurança,BHE/IP/03717
Belo Horizonte,Segurança,BHE/IP/15824
Belo Horizonte,Segurança,BHE/IP/17337
Belo Horizonte,Segurança,BHE/IP/17926
Belo Horizonte,Serviços Telefonia,3736-8750
Belo Horizonte,Serviços Telefonia,4004-4900
Belo Horizonte,Serviços Telefonia,34-2102-5450
Belo Horizonte,Serviços Telefonia,31 3768-1950
Belo Horizonte,Serviços Telefonia,31 3992-7900
Belo Horizonte,Serviços Telefonia,3003-0222
Belo Horizonte,Serviços Telefonia,31 3057-2150
Belo Horizonte,Serviços Telefonia,031 3505-9600
Belo Horizonte,Serviços Telefonia,31 3003-0403
Belo Horizonte,Serviços Telefonia,3003-7703
Belo Horizonte,Serviços Telefonia,31 3768-4300
Belo Horizonte,Serviços Telefonia,31 3306-7700
Belo Horizonte,Serviços Telefonia,31 3555-4800
Belo Horizonte,Serviços Telefonia,(31) 3048-8100 - (2 E1 s) - NET
Belo Horizonte,Serviços Telefonia,3003-0403
Belo Horizonte,Serviços Telefonia,31 2138-2850
Belo Horizonte,Serviços Telefonia,BHE 0BU ULA YS DPDV 0001
Belo Horizonte,Serviços Telefonia,0800 020 0200
Belo Horizonte,Serviços Telefonia,4004-7777
Belo Horizonte,Serviços Telefonia,BHE LCUES2 BHE ZOD 000031N007
Belo Horizonte,Serviços Telefonia,10621
Belo Horizonte,Serviços Telefonia,31-3343-5950
Belo Horizonte,Serviços Telefonia,4004-8844
Belo Horizonte,Serviços Telefonia,031 3307 5700
Belo Horizonte,Serviços Telefonia,3555-4800
Belo Horizonte,Serviços Telefonia,31 3343-5950
Belo Horizonte,Serviços Telefonia,4004-4949
Belo Horizonte,Serviços Telefonia,0800-722-0222
Belo Horizonte,Serviços Telefonia,4004-4910
Belo Horizonte,Serviços Telefonia,8007210027
Belo Horizonte,Serviços Telefonia,31 2191-6550
Belo Horizonte,Serviços Telefonia,31-2138-2850
Belo Horizonte,Servidores/Provisionamento,GGC
Belo Horizonte,Servidores/Provisionamento,NAGRA
Belo Horizonte,Servidores/Provisionamento,GGC - RMA
Belo Horizonte,Servidores/Provisionamento,CLOUDFLARE
Belo Horizonte,Servidores/Provisionamento,GERENCIA
Belo Horizonte,Servidores/Provisionamento,AZION
Belo Horizonte,Servidores/Provisionamento,SERVIDOR-LDAP
Belo Horizonte,Servidores/Provisionamento,FACEBOOK
Belo Horizonte,Servidores/Provisionamento,AKAMAI
Belo Horizonte,Servidores/Provisionamento,SERVIDOR-DNS
Belo Horizonte,Servidores/Provisionamento,NETFLIX
Belo Horizonte,Servidores/Provisionamento,TV-SERVIDOR MCS
Belo Horizonte,Servidores/Provisionamento,GLOBO
Belo Horizonte,Servidores/Provisionamento,FACEBOOK - RMA
Belo Horizonte,Servidores/Provisionamento,AKAMAI - RMA
Belo Horizonte,Servidores/Provisionamento,SERVIDOR-DHCP
Belo Horizonte,Servidores/Provisionamento,NETFLIX - RMA
Belo Horizonte,Sistemas,New Monitor
Belo Horizonte,Sistemas,Nágios Mapa
Belo Horizonte,Sistemas,NETSMS
Belo Horizonte,Sistemas,Catapora
Belo Horizonte,Sistemas,Nágios IP
Belo Horizonte,Sistemas,GRAFANA
Belo Horizonte,Sistemas,Nágios NOW
Belo Horizonte,SoftSwitch,BHEHIQES03
Belo Horizonte,SoftSwitch,BHEES2
Belo Horizonte,SoftSwitch,BHEHIQES01
Belo Horizonte,SoftSwitch,NETFONE
Belo Horizonte,SoftSwitch,BHEHIQES02
Belo Horizonte,SoftSwitch,BHEES1
Belo Horizonte,SWITCH DE ACESSO,DATACOM
Belo Horizonte,SWITCH DE ACESSO,ASGA
Belo Horizonte,VHUB (Coletores),Não Definido
Belo Horizonte,WiFi - Aeroporto,Access Point
Belo Horizonte,WiFi - Aeroporto,Cable Modem
Belo Horizonte,WiFi - Aeroporto,Portal
Belo Horizonte,WiFi - Aeroporto,RedBack
Belo Horizonte,WiFi - Aeroporto,AEROPORTO
Belo Horizonte,WiFi - Aeroporto,Contexto-RedBack
Belo Horizonte,WiFi - Aeroporto,Controladora
Belo Horizonte,WiFi - AP,Access Point
Belo Horizonte,WiFi - AP,Cable Modem
Belo Horizonte,WiFi - AP,RADIUS
Belo Horizonte,WiFi - AP,COMMUNITY
Belo Horizonte,WiFi - AP,Portal
Belo Horizonte,WiFi - AP,RedBack
Belo Horizonte,WiFi - AP,CLARO-WIFI
Belo Horizonte,WiFi - AP,Contexto-RedBack
Belo Horizonte,WiFi - AP,Controladora
Bento Gonçalves,Anel Virtua,Não Definido
Bento Gonçalves,Backbone,Switch
Bento Gonçalves,Backbone,Controller Belair
Bento Gonçalves,Backbone,Controller Cisco
Bento Gonçalves,Backbone,LINKS
Bento Gonçalves,Backbone,RedBack
Bento Gonçalves,Backbone IP,SWITCH
Bento Gonçalves,Backbone IP,ROUTER
Bento Gonçalves,Backbone IP,SWITCH-E30
Bento Gonçalves,BSoD EBT,BSoD EBT
Bento Gonçalves,BSoD Primesys,BSoD Primesys
Bento Gonçalves,Canal Indisponivel,ESPN HD
Bento Gonçalves,Canal Indisponivel,HBO SIGNATURE HD
Bento Gonçalves,Canal Indisponivel,NET TV HD
Bento Gonçalves,Canal Indisponivel,REDE PLENITUDE
Bento Gonçalves,Canal Indisponivel,TELECINE PIPOCA
Bento Gonçalves,Canal Indisponivel,CARTOON GAMES - INTERATIVO
Bento Gonçalves,Canal Indisponivel,E! 
Bento Gonçalves,Canal Indisponivel,HBO PLUS HD
Bento Gonçalves,Canal Indisponivel,NET INTERATIVA
Bento Gonçalves,Canal Indisponivel,REDE 21
Bento Gonçalves,Canal Indisponivel,TELECINE CULT HD
Bento Gonçalves,Canal Indisponivel,WARNER HD
Bento Gonçalves,Canal Indisponivel,CANAL RURAL
Bento Gonçalves,Canal Indisponivel,DISNEY JUNIOR
Bento Gonçalves,Canal Indisponivel,HBO FAMILY HD
Bento Gonçalves,Canal Indisponivel,NBR
Bento Gonçalves,Canal Indisponivel,RECORD HD
Bento Gonçalves,Canal Indisponivel,TELECINE ACTION
Bento Gonçalves,Canal Indisponivel,VH1 MEGAHITS
Bento Gonçalves,Canal Indisponivel,CANAL BRASIL HD
Bento Gonçalves,Canal Indisponivel,DISCOVERY TURBO HD
Bento Gonçalves,Canal Indisponivel,GNT HD
Bento Gonçalves,Canal Indisponivel,NATGEO WILD HD
Bento Gonçalves,Canal Indisponivel,PRIME BOX BRAZIL
Bento Gonçalves,Canal Indisponivel,SYFY
Bento Gonçalves,Canal Indisponivel,UNIVERSAL CHANNEL
Bento Gonçalves,Canal Indisponivel,BLOOMBERG
Bento Gonçalves,Canal Indisponivel,DISCOVERY KIDS HD
Bento Gonçalves,Canal Indisponivel,GLOOB
Bento Gonçalves,Canal Indisponivel,MULTIshow_
Bento Gonçalves,Canal Indisponivel,PREMIERE HD2
Bento Gonçalves,Canal Indisponivel,SPORTV3
Bento Gonçalves,Canal Indisponivel,TV SENADO
Bento Gonçalves,Canal Indisponivel,BBC WORLD NEWS
Bento Gonçalves,Canal Indisponivel,DISCOVERY HD
Bento Gonçalves,Canal Indisponivel,GLOBO NEWS
Bento Gonçalves,Canal Indisponivel,MIX TV
Bento Gonçalves,Canal Indisponivel,PREMIERE 8
Bento Gonçalves,Canal Indisponivel,SPORTV HD
Bento Gonçalves,Canal Indisponivel,TV JUSTIÇA
Bento Gonçalves,Canal Indisponivel,BAND SPORTS HD
Bento Gonçalves,Canal Indisponivel,DISC. HOME & HEALTH HD
Bento Gonçalves,Canal Indisponivel,GAZETA
Bento Gonçalves,Canal Indisponivel,MEGA TV
Bento Gonçalves,Canal Indisponivel,PREMIERE 5
Bento Gonçalves,Canal Indisponivel,SPACE
Bento Gonçalves,Canal Indisponivel,TV BRASIL
Bento Gonçalves,Canal Indisponivel,BAND HD
Bento Gonçalves,Canal Indisponivel,FUTURA
Bento Gonçalves,Canal Indisponivel,MAX PRIMEe
Bento Gonçalves,Canal Indisponivel,POLISHOP
Bento Gonçalves,Canal Indisponivel,SIC
Bento Gonçalves,Canal Indisponivel,TV COM
Bento Gonçalves,Canal Indisponivel,TNT HD
Bento Gonçalves,Canal Indisponivel,ARTE1
Bento Gonçalves,Canal Indisponivel,CULTURA
Bento Gonçalves,Canal Indisponivel,FOX SPORTS HD2
Bento Gonçalves,Canal Indisponivel,MAX HD
Bento Gonçalves,Canal Indisponivel,PARAMOUNT HD
Bento Gonçalves,Canal Indisponivel,SEXY HOT
Bento Gonçalves,Canal Indisponivel,TLC
Bento Gonçalves,Canal Indisponivel,#NOME?
Bento Gonçalves,Canal Indisponivel,COMBATE
Bento Gonçalves,Canal Indisponivel,FOX HD
Bento Gonçalves,Canal Indisponivel,IDEAL TV
Bento Gonçalves,Canal Indisponivel,OFF
Bento Gonçalves,Canal Indisponivel,SBT HD
Bento Gonçalves,Canal Indisponivel,TELECINE TOUCH HD
Bento Gonçalves,Canal Indisponivel,CLIMATEMPO
Bento Gonçalves,Canal Indisponivel,ESPN 2 HD
Bento Gonçalves,Canal Indisponivel,HBO2 HD
Bento Gonçalves,Canal Indisponivel,NICK JR.
Bento Gonçalves,Canal Indisponivel,REDE VIDA
Bento Gonçalves,Canal Indisponivel,RBS TV HD
Bento Gonçalves,Canal Indisponivel,TELECINE PREMIUM
Bento Gonçalves,Canal Indisponivel,TVE RS
Bento Gonçalves,Canal Indisponivel,OCTO
Bento Gonçalves,Canal Indisponivel,CARTOON NETWORK
Bento Gonçalves,Canal Indisponivel,ESPN BRASIL HD
Bento Gonçalves,Canal Indisponivel,HBO SIGNATURE
Bento Gonçalves,Canal Indisponivel,NET TV
Bento Gonçalves,Canal Indisponivel,REDE MUNDIAL
Bento Gonçalves,Canal Indisponivel,TELECINE FUN HD
Bento Gonçalves,Canal Indisponivel,WOOHOO
Bento Gonçalves,Canal Indisponivel,CANÇÃO NOVA
Bento Gonçalves,Canal Indisponivel,DW (AMERIKA)
Bento Gonçalves,Canal Indisponivel,HBO PLUS
Bento Gonçalves,Canal Indisponivel,NET GAMES
Bento Gonçalves,Canal Indisponivel,RECORD
Bento Gonçalves,Canal Indisponivel,TELECINE CULT
Bento Gonçalves,Canal Indisponivel,VIVA HD
Bento Gonçalves,Canal Indisponivel,CANAL LEGISLATIVO
Bento Gonçalves,Canal Indisponivel,DISNEY CHANNEL HD
Bento Gonçalves,Canal Indisponivel,HBO FAMILY
Bento Gonçalves,Canal Indisponivel,NATIONAL GEOGRAPHIC HD
Bento Gonçalves,Canal Indisponivel,RAI
Bento Gonçalves,Canal Indisponivel,TCM
Bento Gonçalves,Canal Indisponivel,VENUS
Bento Gonçalves,Canal Indisponivel,CANAL BRASIL
Bento Gonçalves,Canal Indisponivel,DISCOVERY TURBO
Bento Gonçalves,Canal Indisponivel,GNT
Bento Gonçalves,Canal Indisponivel,MUSIC BOX BRAZIL
Bento Gonçalves,Canal Indisponivel,PREMIERE MOSAICO
Bento Gonçalves,Canal Indisponivel,STUDIO UNIVERSAL
Bento Gonçalves,Canal Indisponivel,TVE INTERNACIONAL
Bento Gonçalves,Canal Indisponivel,BIS HD
Bento Gonçalves,Canal Indisponivel,DISCOVERY KIDS
Bento Gonçalves,Canal Indisponivel,GLOBO
Bento Gonçalves,Canal Indisponivel,MTV HD
Bento Gonçalves,Canal Indisponivel,PREMIERE CLUBES HD
Bento Gonçalves,Canal Indisponivel,SPORTV2 HD
Bento Gonçalves,Canal Indisponivel,TV RA TIM BUM
Bento Gonçalves,Canal Indisponivel,BBC HD
Bento Gonçalves,Canal Indisponivel,DISCOVERY CIVILIZATION
Bento Gonçalves,Canal Indisponivel,GLOBO HD
Bento Gonçalves,Canal Indisponivel,MEGAPIX HD
Bento Gonçalves,Canal Indisponivel,PREMIERE 7
Bento Gonçalves,Canal Indisponivel,SPORTV
Bento Gonçalves,Canal Indisponivel,TV ESCOLA
Bento Gonçalves,Canal Indisponivel,BAND SPORTS
Bento Gonçalves,Canal Indisponivel,DISC. HOME & HEALTH
Bento Gonçalves,Canal Indisponivel,FX HD
Bento Gonçalves,Canal Indisponivel,MAX UP HD
Bento Gonçalves,Canal Indisponivel,PREMIERE 4
Bento Gonçalves,Canal Indisponivel,SONY HD
Bento Gonçalves,Canal Indisponivel,TV ABERTA
Bento Gonçalves,Canal Indisponivel,AXN HD
Bento Gonçalves,Canal Indisponivel,FOX SPORTS2
Bento Gonçalves,Canal Indisponivel,MAX PRIME HD
Bento Gonçalves,Canal Indisponivel,PLAYBOY TV
Bento Gonçalves,Canal Indisponivel,SHOPTIME.COM
Bento Gonçalves,Canal Indisponivel,TNT
Bento Gonçalves,Canal Indisponivel,ANIMAL PLANET
Bento Gonçalves,Canal Indisponivel,CULTURA HD
Bento Gonçalves,Canal Indisponivel,FOX SPORTS HD
Bento Gonçalves,Canal Indisponivel,MAX
Bento Gonçalves,Canal Indisponivel,PARAMOUNT
Bento Gonçalves,Canal Indisponivel,SEXTREME
Bento Gonçalves,Canal Indisponivel,THE HISTORY CHANNEL HD
Bento Gonçalves,Canal Indisponivel,#NOME?
Bento Gonçalves,Canal Indisponivel,CNT
Bento Gonçalves,Canal Indisponivel,CANAL COMUNITARIO
Bento Gonçalves,Canal Indisponivel,FOX
Bento Gonçalves,Canal Indisponivel,ID HD
Bento Gonçalves,Canal Indisponivel,NOVO TEMPO
Bento Gonçalves,Canal Indisponivel,RIT TV
Bento Gonçalves,Canal Indisponivel,TELECINE TOUCH
Bento Gonçalves,Canal Indisponivel,CINEMAX HD
Bento Gonçalves,Canal Indisponivel,ESPN  
Bento Gonçalves,Canal Indisponivel,HBO2
Bento Gonçalves,Canal Indisponivel,NHK
Bento Gonçalves,Canal Indisponivel,REDE TV!
Bento Gonçalves,Canal Indisponivel,RBS TV
Bento Gonçalves,Canal Indisponivel,TELECINE PIPOCA HD
Bento Gonçalves,Canal Indisponivel,CARTOON HD
Bento Gonçalves,Canal Indisponivel,ESPN BRASIL
Bento Gonçalves,Canal Indisponivel,HBO PLUSe
Bento Gonçalves,Canal Indisponivel,NET MÚSICA
Bento Gonçalves,Canal Indisponivel,REDE GOSPEL
Bento Gonçalves,Canal Indisponivel,TELECINE FUN
Bento Gonçalves,Canal Indisponivel,WARNER
Bento Gonçalves,Canal Indisponivel,CANAL UNIVERSITÁRIO
Bento Gonçalves,Canal Indisponivel,DISNEY XD
Bento Gonçalves,Canal Indisponivel,HBO HD
Bento Gonçalves,Canal Indisponivel,NET CIDADE SP
Bento Gonçalves,Canal Indisponivel,RECORD NEWS
Bento Gonçalves,Canal Indisponivel,TELECINE ACTION HD
Bento Gonçalves,Canal Indisponivel,VIVA
Bento Gonçalves,Canal Indisponivel,BBC EARTH HD
Bento Gonçalves,Canal Indisponivel,CANAL DE VENDAS NET 
Bento Gonçalves,Canal Indisponivel,DISNEY CHANNEL
Bento Gonçalves,Canal Indisponivel,HBO
Bento Gonçalves,Canal Indisponivel,NATIONAL GEOGRAPHIC
Bento Gonçalves,Canal Indisponivel,PRIVATE
Bento Gonçalves,Canal Indisponivel,TBS
Bento Gonçalves,Canal Indisponivel,UNIVERSAL TV HD
Bento Gonçalves,Canal Indisponivel,BOOMERANG
Bento Gonçalves,Canal Indisponivel,DISCOVERY SCIENCE
Bento Gonçalves,Canal Indisponivel,GLOOB HD
Bento Gonçalves,Canal Indisponivel,MULTIshow_ HD
Bento Gonçalves,Canal Indisponivel,PREMIERE INTERATIVO
Bento Gonçalves,Canal Indisponivel,SPORTV3 HD
Bento Gonçalves,Canal Indisponivel,TV5 MONDE
Bento Gonçalves,Canal Indisponivel,BIS
Bento Gonçalves,Canal Indisponivel,DISCOVERY HD THEATER
Bento Gonçalves,Canal Indisponivel,GLOBO NEWS HD
Bento Gonçalves,Canal Indisponivel,MTV
Bento Gonçalves,Canal Indisponivel,PREMIERE CLUBES
Bento Gonçalves,Canal Indisponivel,SPORTV2
Bento Gonçalves,Canal Indisponivel,TV KOREA
Bento Gonçalves,Canal Indisponivel,BAND
Bento Gonçalves,Canal Indisponivel,DISCOVERY
Bento Gonçalves,Canal Indisponivel,GLITZ
Bento Gonçalves,Canal Indisponivel,MEGAPIX
Bento Gonçalves,Canal Indisponivel,PREMIERE 6
Bento Gonçalves,Canal Indisponivel,SPACE HD
Bento Gonçalves,Canal Indisponivel,TV CAMARA
Bento Gonçalves,Canal Indisponivel,BAND NEWS
Bento Gonçalves,Canal Indisponivel,FX
Bento Gonçalves,Canal Indisponivel,MAX UP
Bento Gonçalves,Canal Indisponivel,PREMIERE 2
Bento Gonçalves,Canal Indisponivel,SONY
Bento Gonçalves,Canal Indisponivel,TOONCAST
Bento Gonçalves,Canal Indisponivel,AXN
Bento Gonçalves,Canal Indisponivel,CURTA!
Bento Gonçalves,Canal Indisponivel,FOX SPORTS 
Bento Gonçalves,Canal Indisponivel,MAX PRIME
Bento Gonçalves,Canal Indisponivel,PLAY TV
Bento Gonçalves,Canal Indisponivel,SHOPBUY
Bento Gonçalves,Canal Indisponivel,TLC HD SIMULCAST
Bento Gonçalves,Canal Indisponivel,TV PAMPA
Bento Gonçalves,Canal Indisponivel,A&E
Bento Gonçalves,Canal Indisponivel,COMEDY CENTRAL
Bento Gonçalves,Canal Indisponivel,FOX LIFE
Bento Gonçalves,Canal Indisponivel,LIFETIME
Bento Gonçalves,Canal Indisponivel,OFF HD
Bento Gonçalves,Canal Indisponivel,SBT  
Bento Gonçalves,Canal Indisponivel,THE HISTORY CHANNEL
Bento Gonçalves,Canal Indisponivel,NOW
Bento Gonçalves,Canal Indisponivel,CNN INTERNATIONAL
Bento Gonçalves,Canal Indisponivel,FOR MAN
Bento Gonçalves,Canal Indisponivel,ID
Bento Gonçalves,Canal Indisponivel,NICKELODEON
Bento Gonçalves,Canal Indisponivel,REDETV! HD
Bento Gonçalves,Canal Indisponivel,TV PAMPA HD
Bento Gonçalves,Canal Indisponivel,TELECINE PREMIUM HD
Bento Gonçalves,Canal Indisponivel,CINEMAX
Bento Gonçalves,CMTS,CMTS
Bento Gonçalves,Energia,Não Definido
Bento Gonçalves,Geradora,Geradora de sinal
Bento Gonçalves,Infra Estrutura,REDE HFC
Bento Gonçalves,Infra Estrutura,ADAPTADOR(ES) / CABO(S) / CONECTOR(ES)
Bento Gonçalves,Infra Estrutura,QUEDA DE ENERGIA - REGIÃO
Bento Gonçalves,Infra Estrutura,QUEDA DE ENERGIA - DATACENTER / HEADEND
Bento Gonçalves,Link,Aeroporto CGH
Bento Gonçalves,Link,Claro
Bento Gonçalves,Link,Aeroporto GRU
Bento Gonçalves,Links,BGVEMDME/PAEBVIT/1G/001
Bento Gonçalves,Links,BGV/IP/00179
Bento Gonçalves,Links,BGVEMDME/PAEBVIT/1G/002
Bento Gonçalves,Links,PAE NEW/BGV EMD/DP*V/0008
Bento Gonçalves,Links,WHATSAPP
Bento Gonçalves,Links,INSTAGRAM
Bento Gonçalves,Links,BGV/IP/00525.
Bento Gonçalves,Links,BGV/IP/00583
Bento Gonçalves,Links,BGV/IP/00895
Bento Gonçalves,Links,PAE NEW BGV EMD DP*V 0002
Bento Gonçalves,Links,BGV/IP/00897
Bento Gonçalves,Links,BGV/IP/00559 - IPV6
Bento Gonçalves,Links,BGV/IP/00590 - IPV6
Bento Gonçalves,Links,BGV/IP/925
Bento Gonçalves,Links,BGV/IP/00580 - IPV6
Bento Gonçalves,Links,BGV/IP/00476
Bento Gonçalves,Links,BGV/IP/00525 - IPV6
Bento Gonçalves,Links,BACKBONE
Bento Gonçalves,Links,BGV/IP/00586
Bento Gonçalves,Links,PAENR/BGVEMD/DP*V/0004
Bento Gonçalves,Links,PAE NEW/BGV EMD/DP*V/0006
Bento Gonçalves,Links,TERRA
Bento Gonçalves,Links,PAE NEW/BGV EMD/DP*V/0004
Bento Gonçalves,Links,BGV/IP/00616
Bento Gonçalves,Links,BGV/IP/00896
Bento Gonçalves,Links,BGV/IP/00589
Bento Gonçalves,Links,PAENR/BGVEMD/DP*V/0004
Bento Gonçalves,Links,BGV/IP/00569
Bento Gonçalves,Links,BGV/IP/00182
Bento Gonçalves,Links,PAENR/BGVEMD/DP*V/0002
Bento Gonçalves,Links,YOUTUBE
Bento Gonçalves,Links,PTT
Bento Gonçalves,Links,BGV/IP/00615
Bento Gonçalves,Links,BGV/IP/00898
Bento Gonçalves,Links,BGV/IP/00591
Bento Gonçalves,Links,BGV/IP/00588
Bento Gonçalves,Links,PAENR/BGVEMD/DP*V/0002
Bento Gonçalves,Links,BGV/IP/00560 - IPV6
Bento Gonçalves,Não Definida,NÃO DEFINIDO
Bento Gonçalves,NOW,NOW ONLINE
Bento Gonçalves,NOW,NOW IP
Bento Gonçalves,NOW,NOW
Bento Gonçalves,Pay TV (Line UP),Não Definido
Bento Gonçalves,Peering,Não Definido
Bento Gonçalves,Rede HFC/Acesso,Node
Bento Gonçalves,Rede HFC/Acesso,AP Cisco
Bento Gonçalves,Rede HFC/Acesso,AP Belair
Bento Gonçalves,Redundância,Não Definido
Bento Gonçalves,SBC,NETFONE
Bento Gonçalves,Serviços Telefonia,0800-721-0029 - (NETFONE) - (54) 3451-9999
Bento Gonçalves,Serviços Telefonia,0800-726-0800
Bento Gonçalves,Serviços Telefonia,0800-702-6644
Bento Gonçalves,Serviços Telefonia,3003-0222
Bento Gonçalves,Serviços Telefonia,0800-722-0222
Bento Gonçalves,Servidores/Provisionamento,FACEBOOK
Bento Gonçalves,Servidores/Provisionamento,FACEBOOK - RMA
Bento Gonçalves,Servidores/Provisionamento,SERVIDOR-DNS
Bento Gonçalves,Servidores/Provisionamento,AKAMAI - RMA
Bento Gonçalves,Servidores/Provisionamento,SERVIDOR-DHCP(1)
Bento Gonçalves,Servidores/Provisionamento,SERVIDOR-DHCP
Bento Gonçalves,Servidores/Provisionamento,AKAMAI
Bento Gonçalves,Servidores/Provisionamento,NETFLIX - RMA
Bento Gonçalves,Servidores/Provisionamento,GGC
Bento Gonçalves,Servidores/Provisionamento,TV-SERVIDOR MCS
Bento Gonçalves,Servidores/Provisionamento,GGC - RMA
Bento Gonçalves,Servidores/Provisionamento,SERVIDOR-LDAP
Bento Gonçalves,Servidores/Provisionamento,GERENCIA
Bento Gonçalves,Servidores/Provisionamento,NETFLIX
Bento Gonçalves,Sistemas,New Monitor
Bento Gonçalves,Sistemas,Nágios Mapa
Bento Gonçalves,Sistemas,Catapora
Bento Gonçalves,Sistemas,Nágios IP
Bento Gonçalves,Sistemas,Nágios NOW
Bento Gonçalves,Sistemas,SCAN
Bento Gonçalves,SoftSwitch,NETFONE
Bento Gonçalves,SWITCH DE ACESSO,DATACOM
Bento Gonçalves,SWITCH DE ACESSO,ASGA
Bento Gonçalves,VHUB (Coletores),Não Definido
Bento Gonçalves,WiFi - Aeroporto,Access Point
Bento Gonçalves,WiFi - Aeroporto,Cable Modem
Bento Gonçalves,WiFi - Aeroporto,Portal
Bento Gonçalves,WiFi - Aeroporto,RedBack
Bento Gonçalves,WiFi - Aeroporto,Contexto-RedBack
